DB01148	Flavoxate
DB00273	Topiramate
DB06203	Alogliptin
DB00619	Imatinib
DB00174	L-Asparagine
DB08873	Boceprevir
DB00986	Glycopyrrolate
DB00757	Dolasetron
DB00168	Aspartame
DB00255	Diethylstilbestrol
DB02546	Vorinostat
DB06209	Prasugrel
DB00917	Dinoprostone
DB01577	Methamphetamine
DB01186	Pergolide
DB00272	Betazole
DB06770	Benzyl alcohol
DB08834	Tauroursodeoxycholic acid
DB00250	Dapsone
DB00633	Dexmedetomidine
DB04967	Lucanthone
DB00970	Dactinomycin
DB00364	Sucralfate
DB06614	Peramivir
DB00500	Tolmetin
DB00862	Vardenafil
DB08835	Spaglumic Acid
DB01168	Procarbazine
DB00334	Olanzapine
DB06691	Mepyramine
DB00745	Modafinil
DB00889	Granisetron
DB01100	Pimozide
DB00278	Argatroban
DB01466	Ethylmorphine
DB01049	Ergoloid mesylate
DB04868	Nilotinib
DB00931	Methacycline
DB00333	Methadone
DB00475	Chlordiazepoxide
DB01332	Ceftizoxime
DB00579	Mazindol
DB01026	Ketoconazole
DB06704	Iobenguane
DB00953	Rizatriptan
DB00400	Griseofulvin
DB01145	Sulfoxone
DB00825	Menthol
DB00581	Lactulose
DB00885	Pemirolast
DB00585	Nizatidine
DB01407	Clenbuterol
DB08826	Deferiprone
DB04880	Enoximone
DB00870	Suprofen
DB00611	Butorphanol
DB06772	Cabazitaxel
DB01597	Cilastatin
DB00465	Ketorolac
DB00257	Clotrimazole
DB00678	Losartan
DB01067	Glipizide
DB01000	Cyclacillin
DB01282	Carbetocin
DB01592	Iron
DB00725	Homatropine Methylbromide
DB01218	Halofantrine
DB01621	Pipotiazine
DB01607	Ticarcillin
DB00135	L-Tyrosine
DB00643	Mebendazole
DB00968	Methyldopa
DB00777	Propiomazine
DB00128	L-Aspartic Acid
DB00707	Porfimer
DB00589	Lisuride
DB00740	Riluzole
DB06255	Incadronate
DB01219	Dantrolene
DB00976	Telithromycin
DB00851	Dacarbazine
DB00874	Guaifenesin
DB00484	Brimonidine
DB01247	Isocarboxazid
DB00486	Nabilone
DB00820	Tadalafil
DB01590	Everolimus
DB00501	Cimetidine
DB00370	Mirtazapine
DB00252	Phenytoin
DB08958	Hexetidine
DB00983	Formoterol
DB06775	Carglumic Acid
DB06212	Tolvaptan
DB01226	Mivacurium
DB08795	Azidocillin
DB00547	Desoximetasone
DB06637	Dalfampridine
DB01211	Clarithromycin
DB00508	Triflupromazine
DB00629	Guanabenz
DB01582	Sulfamethazine
DB01179	Podofilox
DB00637	Astemizole
DB00354	Buclizine
DB00909	Zonisamide
DB01060	Amoxicillin
DB00766	Clavulanate
DB00918	Almotriptan
DB04786	Suramin
DB00156	L-Threonine
DB00298	Dapiprazole
DB00319	Piperacillin
DB08936	Chlorcyclizine
DB00166	Lipoic Acid
DB00681	Amphotericin B
DB05245	Silver sulfadiazine
DB00879	Emtricitabine
DB01061	Azlocillin
DB00254	Doxycycline
DB01602	Bacampicillin
DB01421	Paromomycin
DB08802	Isothipendyl
DB08799	Antazoline
DB06709	Methacholine
DB00428	Streptozocin
DB00271	Diatrizoate
DB01399	Salsalate
DB01225	Enoxaparin
DB01593	Zinc
DB00317	Gefitinib
DB01111	Colistimethate
DB08822	Azilsartan medoxomil
DB04911	Oritavancin
DB01301	Rolitetracycline
DB00639	Butoconazole
DB00981	Physostigmine
DB00883	Isosorbide Dinitrate
DB00436	Bendroflumethiazide
DB00863	Ranitidine
DB00127	Spermine
DB00422	Methylphenidate
DB01253	Ergonovine
DB08901	Ponatinib
DB00731	Nateglinide
DB01234	Dexamethasone
DB01294	Bismuth Subsalicylate
DB00876	Eprosartan
DB00698	Nitrofurantoin
DB00258	Calcium Acetate
DB00383	Oxyphencyclimine
DB01050	Ibuprofen
DB01102	Arbutamine
DB00787	Aciclovir
DB00265	Crotamiton
DB00649	Stavudine
DB01014	Balsalazide
DB00377	Palonosetron
DB04842	Fluspirilene
DB06694	Xylometazoline
DB08968	Fominoben
DB00536	Guanidine
DB08868	Fingolimod
DB09008	Cephaloridine
DB08797	Salicylamide
DB00545	Pyridostigmine
DB00481	Raloxifene
DB00301	Flucloxacillin
DB00900	Didanosine
DB00289	Atomoxetine
DB00638	Inulin
DB00293	Raltitrexed
DB00275	Olmesartan
DB00617	Paramethadione
DB00332	Ipratropium bromide
DB01171	Moclobemide
DB00920	Ketotifen
DB00790	Perindopril
DB00213	Pantoprazole
DB00891	Sulfapyridine
DB01246	Alimemazine
DB00137	Xanthophyll
DB00859	Penicillamine
DB00367	Levonorgestrel
DB00453	Clomocycline
DB01185	Fluoxymesterone
DB01212	Ceftriaxone
DB00709	Lamivudine
DB00578	Carbenicillin
DB00143	Glutathione
DB00248	Cabergoline
DB01025	Amlexanox
DB00729	Diphemanil Methylsulfate
DB06150	Sulfadimethoxine
DB00941	Hexafluronium
DB00613	Amodiaquine
DB01216	Finasteride
DB00544	Fluorouracil
DB01252	Mitiglinide
DB00313	Valproic Acid
DB01482	Fenethylline
DB01419	Antrafenine
DB01202	Levetiracetam
DB01125	Anisindione
DB00442	Entecavir
DB08913	Radium Ra 223 Dichloride
DB01364	Ephedrine
DB00569	Fondaparinux sodium
DB00485	Dicloxacillin
DB00214	Torasemide
DB01097	Leflunomide
DB00251	Terconazole
DB00557	Hydroxyzine
DB08860	Pitavastatin
DB00807	Proparacaine
DB00325	Nitroprusside
DB01031	Ethinamate
DB08976	Floctafenine
DB00752	Tranylcypromine
DB06713	Norelgestromin
DB08928	Arsthinol
DB01057	Echothiophate
DB06802	Nepafenac
DB01431	Allylestrenol
DB08899	Enzalutamide
DB09028	Cytisine
DB01092	Ouabain
DB00118	S-Adenosylmethionine
DB00618	Demeclocycline
DB00526	Oxaliplatin
DB00635	Prednisone
DB00925	Phenoxybenzamine
DB00665	Nilutamide
DB00483	Gallamine Triethiodide
DB00601	Linezolid
DB00163	Vitamin E
DB00894	Testolactone
DB00104	Octreotide
DB00687	Fludrocortisone
DB01599	Probucol
DB00608	Chloroquine
DB00115	Cyanocobalamin
DB01321	Josamycin
DB01206	Lomustine
DB01058	Praziquantel
DB00176	Fluvoxamine
DB00267	Cefmenoxime
DB00628	Clorazepate
DB01291	Pirbuterol
DB00564	Carbamazepine
DB04844	Tetrabenazine
DB00570	Vinblastine
DB04845	Ixabepilone
DB01463	Fencamfamine
DB06147	Sulfathiazole
DB00705	Delavirdine
DB08903	Bedaquiline
DB00838	Clocortolone
DB00977	Ethinyl Estradiol
DB01613	Erythrityl Tetranitrate
DB01603	Meticillin
DB00199	Erythromycin
DB04843	Mepenzolate
DB00122	Choline
DB00933	Mesoridazine
DB01098	Rosuvastatin
DB00270	Isradipine
DB00997	Doxorubicin
DB00209	Trospium
DB00867	Ritodrine
DB01220	Rifaximin
DB01289	Glisoxepide
DB04865	Homoharringtonine
DB01544	Flunitrazepam
DB00170	Menadione
DB06714	Propylhexedrine
DB08954	Ifenprodil
DB00502	Haloperidol
DB01089	Deserpidine
DB00719	Azatadine
DB00736	Esomeprazole
DB00338	Omeprazole
DB00093	Felypressin
DB08893	Mirabegron
DB06196	Icatibant
DB00297	Bupivacaine
DB08970	Fluprednidene Acetate
DB01366	Procaterol
DB01122	Ambenonium
DB01429	Aprindine
DB01260	Desonide
DB00239	Oxiconazole
DB00555	Lamotrigine
DB00956	Hydrocodone
DB00310	Chlorthalidone
DB00873	Loteprednol
DB01200	Bromocriptine
DB01412	Theobromine
DB01217	Anastrozole
DB00827	Cinoxacin
DB01126	Dutasteride
DB00568	Cinnarizine
DB01138	Sulfinpyrazone
DB08803	Tymazoline
DB01030	Topotecan
DB00829	Diazepam
DB04839	Cyproterone acetate
DB00202	Succinylcholine
DB00939	Meclofenamic acid
DB00835	Brompheniramine
DB00119	Pyruvic acid
DB00625	Efavirenz
DB00791	Uracil mustard
DB06703	Gadobutrol
DB00779	Nalidixic Acid
DB04573	Estriol
DB00676	Benzyl Benzoate
DB01352	Aprobarbital
DB01201	Rifapentine
DB01156	Bupropion
DB00950	Fexofenadine
DB00715	Paroxetine
DB01047	Fluocinonide
DB01119	Diazoxide
DB08806	Roxatidine acetate
DB01177	Idarubicin
DB00489	Sotalol
DB01256	Retapamulin
DB01259	Lapatinib
DB00670	Pirenzepine
DB00217	Bethanidine
DB00727	Nitroglycerin
DB00528	Lercanidipine
DB01424	Aminophenazone
DB00856	Chlorphenesin
DB06716	Fospropofol
DB00375	Colestipol
DB00236	Pipobroman
DB01227	Levomethadyl Acetate
DB01501	Difenoxin
DB01188	Ciclopirox
DB05271	Rotigotine
DB01136	Carvedilol
DB00397	Phenylpropanolamine
DB00805	Minaprine
DB01254	Dasatinib
DB00460	Verteporfin
DB01330	Cefotetan
DB00775	Tirofiban
DB00513	Aminocaproic Acid
DB00221	Isoetarine
DB06718	Stanozolol
DB01019	Bethanechol
DB06207	Silodosin
DB00323	Tolcapone
DB01326	Cefamandole
DB01090	Pentolinium
DB00577	Valaciclovir
DB00599	Thiopental
DB01011	Metyrapone
DB00855	Aminolevulinic acid
DB01427	Amrinone
DB06605	Apixaban
DB06590	Ceftaroline fosamil
DB00241	Butalbital
DB00147	Pyridoxal
DB01303	Oxtriphylline
DB00203	Sildenafil
DB00337	Pimecrolimus
DB00572	Atropine
DB06708	Lumefantrine
DB00864	Tacrolimus
DB01413	Cefepime
DB00350	Minoxidil
DB00511	Acetyldigitoxin
DB01149	Nefazodone
DB00189	Ethchlorvynol
DB00861	Diflunisal
DB06144	Sertindole
DB01091	Butenafine
DB00279	Liothyronine
DB00763	Methimazole
DB00772	Malathion
DB08823	Spinosad
DB00844	Nalbuphine
DB01624	Zuclopenthixol
DB00890	Dienestrol
DB01511	Delorazepam
DB01333	Cefradine
DB00229	Cefotiam
DB01606	Tazobactam
DB00283	Clemastine
DB00206	Reserpine
DB00512	Vancomycin
DB08998	Demexiptiline
DB01423	Stepronin
DB00347	Trimethadione
DB01764	Dalfopristin
DB00403	Ceruletide
DB01232	Saquinavir
DB00743	Gadobenate Dimeglumine
DB00468	Quinine
DB08804	Nandrolone decanoate
DB01401	Trisalicylate-choline
DB00224	Indinavir
DB00244	Mesalazine
DB04794	Bifonazole
DB01099	Flucytosine
DB00518	Albendazole
DB00850	Perphenazine
DB01151	Desipramine
DB01362	Iohexol
DB00612	Bisoprolol
DB00178	Ramipril
DB00603	Medroxyprogesterone Acetate
DB02300	Calcipotriol
DB06594	Agomelatine
DB01425	Alizapride
DB00919	Spectinomycin
DB00753	Isoflurane
DB00636	Clofibrate
DB00991	Oxaprozin
DB06267	Udenafil
DB01002	Levobupivacaine
DB00718	Adefovir Dipivoxil
DB00415	Ampicillin
DB08987	Etidocaine
DB01167	Itraconazole
DB01187	Iophendylate
DB09017	Brotizolam
DB00462	Methylscopolamine bromide
DB08909	Glycerol Phenylbutyrate
DB00417	Penicillin V
DB00944	Demecarium
DB08967	Dimetotiazine
DB01116	Trimethaphan
DB01348	Spirapril
DB06697	Artemether
DB01620	Pheniramine
